Issue,Name,Responder,SIG,KEP,KEP_State,Completed_in_Release
895,Even pod spreading across failure domains,Huang-WeiÂ,scheduling,https://github.com/kubernetes/enhancements/blob/master/keps/sig-scheduling/20190221-pod-topology-spread.md,implementable,
902,Add non-preempting option to PriorityClasses,denkensk vllryÂ,scheduling,https://github.com/kubernetes/enhancements/blob/master/keps/sig-scheduling/20190317-non-preempting-priorityclass.md,implementable,
940,Kubelet support lxcfs feature,fanux,node,https://github.com/kubernetes/enhancements/pull/953,provisional,
950,Add pod-startup liveness-probe holdoff for slow-starting pods,matthyx,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/20190221-livenessprobe-holdoff.md,implementable,
956,Add Watch Bookmarks support,wojtek-t,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/20190206-watch-bookmark.md,implementable,1.17
960,Behavior-driven conformance testing,johnbelamaric,architecture,https://github.com/kubernetes/enhancements/blob/master/keps/sig-architecture/20190412-conformance-behaviors.md,implementable,1.17
961,maxUnavailable for StatefulSets,krmayankk,apps,https://github.com/kubernetes/enhancements/blob/master/keps/sig-apps/20190226-maxunavailable-for-statefulsets.md,implementable,
962,ExecutionHook,xing-yang prydonius,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190120-execution-hook-design.md,implementable,
970,kubeadm: graduate the kubeadm configuration,rosti neolit123,cluster-lifecycle,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cluster-lifecycle/kubeadm/0023-kubeadm-config.md,implementable,
980,Finalizer Protection for Service LoadBalancers,MrHohn,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/20190423-service-lb-finalizer.md,implementable,1.17
986,Graduate ResourceQuotaScopeSelectors from beta to GA,draveness ravisantoshgudimetla,scheduling,https://github.com/kubernetes/enhancements/blob/master/keps/sig-scheduling/20190409-resource-quota-ga.md,implementable,1.17
989,Extend allowed PVC DataSources,j-griffith,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20181111-extend-datasource-field.md,implementable,
991,Cloud Controller Manager Migration for HA Control Planes,andrewsykim,cloud-provider,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cloud-provider/20190422-cloud-controller-manager-migration.md,provisional,
993,support generators and transformers plugins in `kubectl kustomize` and `kubectl -k`,Liujingfang1,cli,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cli/20190318-kustomize-generators-transformers.md,implementable,
995,Kubeadm for Windows,ksubrmnn patricklang,cluster-lifecycle,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cluster-lifecycle/kubeadm/20190424-kubeadm-for-windows.md,implementable,
1001,Support CRI-ContainerD on Windows,PatrickLang,windows,https://github.com/kubernetes/enhancements/blob/master/keps/sig-windows/20190424-windows-cri-containerd.md,implementable,
1020,Moving kubectl package code to staging,soltysh,cli,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cli/kubectl-staging.md,implementable,
1024,Graduate NodeLocal DNSCache to GA,prameshj,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/20190424-NodeLocalDNS-beta-proposal.md,implementable,
1027,API Unions,apelisse,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/20190325-unions.md,implementable,
1029,Quotas for Ephemeral Storage,RobertKrawitz,node,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/20180906-quotas-for-ephemeral-storage.md,implementable,
1040,Priority and Fairness for API Server Requests,MikeSpreitzer yue9944882,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/20190228-priority-and-fairness.md,implementable,
1041,Add Kubelet /Node endpoint,clamoriniere,node,https://github.com/kubernetes/enhancements/pull/1038,provisional,
1043,RunAsUserName for Windows,PatrickLang,windows,https://github.com/kubernetes/enhancements/blob/master/keps/sig-windows/20190418-windows-security-context.md,implementable,
1045,add Pod Level Resource Quota,resouer zhangxiaoyu-zidif,node,https://github.com/kubernetes/enhancements/pull/1044,provisional,
1053,Kubeadm machine/structured output,neolit123,cluster-lifecycle,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cluster-lifecycle/kubeadm/20190506-kubeadm-machine-output.md,implementable,
1067,Support for Encrypted Images in Kubernetes,harche,node,https://github.com/kubernetes/enhancements/pull/1066,provisional,
1073,implement job allocation completions index enhancement,fudali113,apps,https://github.com/kubernetes/enhancements/pull/1072,provisional,
1101,Immutable Fields API,apelisse sttts,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/20190603-immutable-fields.md,implementable,
1122,Support CSI plugins in Windows,,windows,https://github.com/kubernetes/enhancements/blob/master/keps/sig-windows/20190714-windows-csi-support.md,implementable,
1143,Clarify use of node-role labels within Kubernetes and migrate old components,smarterclayton,architecture,https://github.com/kubernetes/enhancements/blob/master/keps/sig-architecture/2019-07-16-node-role-label-use.md,implementable,
1146,Add a new concurrency policy to Cronjob: CatchUp,kolorful,apps,https://github.com/kubernetes/enhancements/pull/1145,provisional,
1152,Avoid serializing the same object independently for every watcher,wojtek-t,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/20190329-less-object-serializations.md,implementable,1.17
1157,Explain Categories and Expand,feloy,cli,https://github.com/kubernetes/enhancements/pull/1156,provisional,
1164,Deprecate and remove SelfLink,,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/20190711-remove-selflink.md,implementable,
1177,Advanced configurations with kubeadm (using Kustomize).,neolit fabianofranz,cluster-lifecycle,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cluster-lifecycle/kubeadm/20190722-Advanced-configurations-with-kubeadm-(Kustomize).md,implementable,
